Started,start_communication,prepareCkpts,applyCktps,Applied
3.802,0.356,0.719,1.945,3.05
3.082,0.502,0.32,1.502,2.374
3.122,0.337,0.376,1.687,2.429
3.209,0.458,0.335,1.801,2.714
3.662,0.527,0.303,1.652,2.539
2.934,0.423,0.282,2.026,2.775
3.145,0.499,0.321,2.28,2.155
3.97,0.455,0.314,2.106,1.946
3.18,0.445,0.421,2.052,2.979
3.197,0.471,0.278,2.937,2.735
3.794,0.182,,1.312,1.544
3.459,0.255,,1.19,1.56
3.271,0.165,,1.012,1.205
3.212,0.152,,1.16,1.357
3.182,0.176,,1.02,1.226
3.251,0.16,,1.098,1.301
3.071,0.184,,1.258,1.476
3.395,0.19,,0.951,1.159
4.263,0.188,,1.248,1.459
3.37,0.188,,1.227,1.498
3.489,0.25,,1.638,1.918
3.114,0.189,,1.506,1.742
3.216,0.234,,1.433,1.74
3.281,0.217,,1.644,1.891
3.324,0.259,,1.41,1.731
3.383,0.194,,1.532,1.752
3.051,0.16,,2.053,2.295
3.17,0.205,,1.444,1.71
3.101,0.223,,1.708,2.016
3.466,0.195,,1.693,1.913
3.292,0.314,1.012,2.287,3.652
3.255,0.282,0.31,1.553,2.208
3.496,0.406,0.309,1.869,2.646
4.077,0.414,0.382,1.259,2.093
3.826,0.308,0.302,1.247,1.907
4.289,0.338,0.344,1.203,1.915
4.079,0.304,0.322,1.978,2.628
3.729,0.253,0.28,1.171,1.752
3.266,0.3,0.346,1.21,1.908
3.491,0.366,0.353,1.516,2.309
