Started,start_communication,prepareCkpts,applyCktps,Applied
4.435,0.675,0.451,1.439,2.683
3.946,0.53,0.611,2.171,3.35
3.779,0.79,0.323,1.57,2.744
3.091,0.438,0.758,1.783,3.01
4.288,0.524,0.333,1.486,2.386
3.803,0.614,0.344,2.011,3.103
3.532,0.597,0.331,1.77,2.741
4.532,0.645,0.398,2.295,2.381
3.619,0.432,0.297,1.603,2.379
3.418,0.568,0.533,1.95,3.089
3.977,0.226,,1.432,1.688
3.551,0.157,,1.604,1.794
3.228,0.349,,1.243,1.616
3.451,0.193,,1.093,1.338
3.728,0.202,,1.11,1.4
3.389,0.171,,1.4,1.637
3.981,0.169,,1.392,1.588
3.783,0.155,,1.066,1.271
3.848,0.273,,1.848,2.16
3.229,0.156,,1.111,1.298
3.246,0.298,,2.744,3.091
3.677,0.211,,1.817,2.055
3.316,0.291,,1.564,1.886
3.243,0.217,,1.5,1.749
3.319,0.242,,1.91,2.201
3.845,0.203,,1.571,1.801
3.227,0.192,,2.007,2.246
3.516,0.204,,3.506,3.732
3.415,0.521,,2.052,2.67
4.335,0.29,,1.696,2.538
3.672,0.732,1.232,1.57,3.565
3.501,0.336,0.307,1.539,2.211
3.567,0.262,0.347,1.278,1.92
2.966,0.785,0.327,1.639,2.793
3.712,0.28,0.344,1.884,2.548
4.269,0.363,0.303,1.065,2.755
4.271,0.281,0.299,1.027,2.706
3.331,0.288,0.301,1.482,2.095
4.201,0.3,0.307,1.766,2.443
3.426,0.29,0.305,1.901,2.529
