Started,start_communication,prepareCkpts,applyCktps,Applied
3.472,0.803,0.769,2.368,3.971
3.528,0.86,0.541,2.072,3.515
3.651,0.829,0.658,2.886,4.398
3.393,0.826,0.727,2.47,4.061
3.282,1.293,1.071,5.197,7.586
4.244,0.966,0.669,2.39,4.069
4.244,0.966,0.669,2.39,4.069
3.333,0.836,1.244,3.591,5.703
4.019,0.965,0.566,2.163,3.732
4.033,1.251,0.516,2.322,4.168
3.429,0.216,,2.238,2.48
3.733,0.18,,1.878,2.087
3.661,0.215,,2.04,2.347
3.679,0.193,,2.89,3.128
3.422,0.203,,2.21,2.441
3.707,0.349,,1.911,2.305
3.446,0.243,,2.178,2.459
3.62,0.19,,2.161,2.391
3.528,0.187,,2.429,2.654
4.005,0.189,,1.595,1.831
3.905,0.952,,2.12,3.136
3.933,0.421,,2.126,2.595
3.832,1.04,,2.954,4.031
3.871,0.611,,1.902,2.575
3.778,0.502,,2.499,3.039
3.484,1.003,,2.386,3.432
4.223,0.513,,2.287,2.852
3.772,1.206,,2.452,3.744
4.576,0.495,,3.127,3.665
4.672,0.424,,2.237,2.718
