Started,start_communication,prepareCkpts,applyCktps,Applied
3.609,0.357,0.394,1.432,2.236
4.145,0.422,0.353,1.872,2.687
3.669,0.419,0.326,2.238,3.011
3.863,0.348,0.717,1.357,2.469
3.52,0.433,0.538,1.353,2.368
3.56,0.35,0.344,1.688,2.437
3.078,0.369,0.382,1.809,2.592
3.057,0.48,0.573,1.369,2.456
3.987,0.37,0.3,1.571,2.289
3.043,0.329,0.312,1.897,2.628
3.002,0.195,,1.163,2.41
3.472,0.16,,1.972,1.16
3.161,0.173,,1.195,1.414
3.205,0.206,,1.012,1.243
3.015,0.222,,1.128,1.417
3.192,0.173,,1.091,1.317
3.233,0.187,,1.58,1.819
3.675,0.188,,1.171,1.412
3.329,0.219,,1.033,1.406
3.839,0.196,,1.847,2.103
3.215,0.258,,1.972,2.255
3.758,0.215,,1.737,2.001
3.345,0.264,,1.326,1.634
3.401,0.201,,2.563,2.798
3.014,0.239,,1.493,1.757
3.121,0.225,,1.599,1.869
3.263,0.174,,1.337,1.54
3.124,0.171,,1.42,1.627
3.279,0.165,,1.34,1.538
2.976,0.486,,1.523,2.031
3.546,0.35,0.598,2.009,2.988
3.109,0.37,0.345,1.403,2.149
3.0,0.286,0.355,1.379,2.051
3.206,0.271,0.327,1.338,1.967
4.017,0.229,0.311,1.301,1.884
3.186,0.253,0.283,2.179,1.767
2.931,0.293,0.612,1.385,2.333
3.084,0.24,0.29,1.173,1.731
3.173,0.268,0.32,1.144,1.765
2.986,0.264,0.324,1.165,1.788
